VENDOR	CODE	BARCODE	BARCODE_DISPLAY	NAME_KR	NAME_EN	SIZE
Hanmi	82833	087703828339	0 87703 82833 9	남양프렌치카페스테비아산양유	French Cafe Stevia Protein	8/100T 11.1g
Hanmi	19671	087703196711	0 87703 19671 1	삼계탕재료(수라상)	KOREAN HERB FOR CHICKEN STEW	24/3.17OZ(90G)
Hanmi	06594	087703065949	0 87703 06594 9	건표고버섯슬라이스(KR)	DRIED FOREST MUSHROOM(SLICE)(KR)	18/100 g
Hanmi	06597	087703065970	0 87703 06597 0	건통표고버섯(KR)	DRIED FOREST MUSHROOM(WHOLE)(KR)	18/100 g
Hanmi	40952	087703409521	0 87703 40952 1	수라상대추	SURASANG Red Dates	10/8 oz
Hanmi	06031	087703060319	0 87703 06031 9	황태채(왕)	DRIED POLLACK	20/5OZ(142G)
Hanmi	19653	087703196537	0 87703 19653 7	오순이오자매(금한)	ROASTED SEASONED SQUID	30/2.82OZ(80G)
Hanmi	03249	087703032491	0 87703 03249 1	핫오징어	SPICY ROASTED SQUID	36/3.17OZ
Hanmi	03250	087703032507	0 87703 03250 7	버터구이오징어	ROASTED BUTTER SQUID	36/3.17OZ
Hanmi	05751	087703057517	0 87703 05751 7	고금도산돌각미역(왕)	DRIED SEAWEED	25/3OZ(85G)
Hanmi	06126	087703061262	0 87703 06126 2	고금도산돌각미역(왕)	DRIED SEAWEED	10/12.34OZ(350G)
Hanmi	00777	087703007772	0 87703 00777 2	산모용실미역(왕)	DRIED SEAWEED	20/5OZ(142G)
Hanmi	00517	087703005174	0 87703 00517 4	다시마(왕) CUT	DRIED KELP	4/12/2OZ(56G)
Hanmi	00778	087703007789	0 87703 00778 9	맑은바다다시마(왕)	DRIED KELP	4/12/2OZ(56GR)
Hanmi	05059	087703050594	0 87703 05059 4	맑은바다다시마(왕)	DRIED KELP	50/6OZ(170G)
Hanmi	13245	087703132450	0 87703 13245 0	맑은바다다시마(왕)	DRIED KELP	24/1LB(453G)
Hanmi	83515	087703835153	0 87703 83515 3	동원양반자른다시마	DW Cut Kombu Seaweed	15/ 80 g
Hanmi	41283	087703412835	0 87703 41283 5	한가위쌀(왕)	HANGAWEE RICE (US) CALROSE	15LB(6.80KG)
Hanmi	80089	087703800892	0 87703 80089 2	한가위쌀(왕)	HANGAWEE RICE (US) CALROSE	40LB(18.14KG)
Hanmi	41332	087703413320	0 87703 41332 0	스시용쌀(스키나)4.4LB	SUSHI RICE (US) 4.4LB	12/4.4LB(2KG)
Hanmi	43523	087703435230	0 87703 43523 0	스시용쌀(스키나)15LB	SUSHI RICE (US)15LB	15LB(6.80KG)
Hanmi	41331	087703413313	0 87703 41331 3	오분도쌀(수라상) 15LB	NUTRI-WHOLE GRAIN RICE (US)	15LB(6.80KG)
Hanmi	41320	087703413207	0 87703 41320 7	현미찹쌀(왕)	BROWN SWEET RICE (US)	15LB(6.80KG)
Hanmi	41311	087703413115	0 87703 41311 5	현미(왕)	BROWN RICE (US)	15LB(6.80KG)
Hanmi	41315	087703413153	0 87703 41315 3	찹쌀(왕) 15LB	SWEET RICE 15LB	15LBS
Hanmi	40850	087703408500	0 87703 40850 0	왕찹쌀가루3 Lb	Sweet Rice Flour 3LB	8/3 Lb
Hanmi	41738	087703417380	0 87703 41738 0	찹쌀(왕) 4.4LB	SWEET RICE (US)	12/4.4LB(2KG)
Hanmi	40851	087703408517	0 87703 40851 7	왕쌀가루8/3 LBS		8/3 LBS
Hanmi	40844	087703408449	0 87703 40844 9	왕감자가루	WANG Potato Flour	16/2LBS
Hanmi	40845	087703408456	0 87703 40845 6	쌀보리(왕)	RICE BARLEY (US)	16/3LB(1.36KG)
Hanmi	40832	087703408326	0 87703 40832 6	건강잡곡-7가지곡물(스키나)	MIXED GRAIN	16/2LB(907G)
Hanmi	40828	087703408289	0 87703 40828 9	건강잡곡(수라상)	MIXED GRAIN	8/5LB(2.26KG)
Hanmi	40339	087703403390	0 87703 40339 0	부드러운찰혼합5곡(왕)	MIXED 5 GRAINS	8/4LB(1.81KG)
Hanmi	40829	087703408296	0 87703 40829 6	통보리(왕)	WHOLE BARLEY (US)	16/2LB(907G)
Hanmi	51066	087703510661	0 87703 51066 1	왕흑미	WANG Black Rice	8/4 Lb (1.81 kg)
Hanmi	40852	087703408524	0 87703 40852 4	납작보리(왕)	PRESSED BARLEY (US)	16/2LB(907G)
Hanmi	40846	087703408463	0 87703 40846 3	납작보리(왕)	PRESSED BARLEY (US)	6/4LB(1.81KG)
Hanmi	40838	087703408388	0 87703 40838 8	검정콩(왕)	BLACK BEAN (CN)	16/2LB(907G)
Hanmi	41748	087703417489	0 87703 41748 9	왕검정콩	WANG Black Bean	6/4 Lb
Hanmi	41481	087703414815	0 87703 41481 5	서리태(수라상)	BLACK BEAN (US)	16/2LB(907G)
Hanmi	08265	087703082656	0 87703 08265 6	서리태(속푸른콩)	DRIED BLACK BEAN (CN)	24/2LB(907G)
Hanmi	41238	087703412385	0 87703 41238 5	붉은팥(왕)	RED BEAN (US)	16/2LB(907G)
Hanmi	41237	087703412378	0 87703 41237 8	붉은팥(왕)	RED BEAN (CN)	6/4LB(1.81KG)
Hanmi	23441	087703234413	0 87703 23441 3	귀리(수라상)	OAT (CA)	12/2LB(907G)
Hanmi	40839	087703408395	0 87703 40839 5	메주콩(왕)	SOY BEAN (US)	16/2LB(907G)
Hanmi	41684	087703416840	0 87703 41684 0	메주콩(왕)	SOY BEAN (US)	6/4LB(1.81KG)
Hanmi	40837	087703408371	0 87703 40837 1	장수콩(수라상)	MIXED BEAN	15/2LB(907G)
Hanmi	40830	087703408302	0 87703 40830 2	통녹두(왕)	MUNG BEAN	16/2LB(907G)
Hanmi	41071	087703410718	0 87703 41071 8	깐율무(왕)	PEELED PEARL BARLEY (CN)	16/2LB(907G)
Hanmi	08267	087703082670	0 87703 08267 0	검정콩, 6.5MM (왕)	DRIED BLACK BEAN (CN)	24/2LB(907G)
Hanmi	40833	087703408333	0 87703 40833 3	깐녹두(왕)	PEELED MUNG BEAN	16/2LB(907G)
